STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00025333,"SITKA AIRPORT, AK US",2018/7/1,0.25,,62,50
USW00025333,"SITKA AIRPORT, AK US",2018/7/2,0.01,,58,53
USW00025333,"SITKA AIRPORT, AK US",2018/7/3,0,,70,54
USW00025333,"SITKA AIRPORT, AK US",2018/7/4,0,,70,55
USW00025333,"SITKA AIRPORT, AK US",2018/7/5,0,,67,55
USW00025333,"SITKA AIRPORT, AK US",2018/7/6,0,,59,55
USW00025333,"SITKA AIRPORT, AK US",2018/7/7,0,,58,55
USW00025333,"SITKA AIRPORT, AK US",2018/7/8,0,,62,54
USW00025333,"SITKA AIRPORT, AK US",2018/7/9,0,,66,55
USW00025333,"SITKA AIRPORT, AK US",2018/7/10,0.44,,59,53
USW00025333,"SITKA AIRPORT, AK US",2018/7/11,0.29,,56,50
USW00025333,"SITKA AIRPORT, AK US",2018/7/12,0.02,,63,49
USW00025333,"SITKA AIRPORT, AK US",2018/7/13,0,,65,48
USW00025333,"SITKA AIRPORT, AK US",2018/7/14,0.32,,58,52
USW00025333,"SITKA AIRPORT, AK US",2018/7/15,0.75,,56,52
USW00025333,"SITKA AIRPORT, AK US",2018/7/16,0.61,,59,52
USW00025333,"SITKA AIRPORT, AK US",2018/7/17,0,,64,52
USW00025333,"SITKA AIRPORT, AK US",2018/7/18,0.16,,60,53
USW00025333,"SITKA AIRPORT, AK US",2018/7/19,0.14,,60,53
USW00025333,"SITKA AIRPORT, AK US",2018/7/20,0,,61,56
USW00025333,"SITKA AIRPORT, AK US",2018/7/21,0,,65,55
USW00025333,"SITKA AIRPORT, AK US",2018/7/22,0,,65,54
USW00025333,"SITKA AIRPORT, AK US",2018/7/23,0,,63,54
USW00025333,"SITKA AIRPORT, AK US",2018/7/24,0,,59,52
USW00025333,"SITKA AIRPORT, AK US",2018/7/25,0,,64,52
USW00025333,"SITKA AIRPORT, AK US",2018/7/26,0,,65,58
USW00025333,"SITKA AIRPORT, AK US",2018/7/27,0,,68,58
USW00025333,"SITKA AIRPORT, AK US",2018/7/28,0,,66,56
USW00025333,"SITKA AIRPORT, AK US",2018/7/29,0,,64,56
USW00025333,"SITKA AIRPORT, AK US",2018/7/30,0,,67,58
USW00025333,"SITKA AIRPORT, AK US",2018/7/31,0,,65,56
